Configuration,Resolution,AvgTime(ms),StdDev(ms),Locks,AvgRSS(MB)
std::sync,426x240,814.20,44.58,6480,36
parking_lot,426x240,803.40,8.21,6480,38
Deloxide (Default),426x240,793.30,3.92,6480,38
Deloxide (Graph),426x240,795.10,6.26,6480,40
Stress (Gentle),426x240,795.90,5.93,6480,38
Stress (Random),426x240,814.10,18.96,6480,39
Stress (Aggressive),426x240,809.60,19.02,6480,38
Stress (Component),426x240,809.20,11.74,6480,38
No Deadlocks,426x240,22718.50,21288.80,6480,38
std::sync,854x480,3193.20,73.27,25920,37
parking_lot,854x480,3207.50,18.64,25920,38
Deloxide (Default),854x480,3174.10,25.94,25920,38
Deloxide (Graph),854x480,3194.20,9.75,25920,39
Stress (Gentle),854x480,3193.30,21.26,25920,39
Stress (Random),854x480,4939.50,487.62,25920,37
Stress (Aggressive),854x480,4588.10,876.02,25920,38
Stress (Component),854x480,4615.70,485.65,25920,39
No Deadlocks,854x480,163456.90,237943.43,25920,39
std::sync,1280x720,7316.40,379.07,57600,38
parking_lot,1280x720,7193.10,191.89,57600,38
Deloxide (Default),1280x720,7096.20,39.97,57600,40
Deloxide (Graph),1280x720,7381.70,533.83,57600,40
Stress (Gentle),1280x720,7326.40,70.56,57600,43
Stress (Random),1280x720,7885.20,1156.78,57600,40
Stress (Aggressive),1280x720,7229.70,61.01,57600,38
Stress (Component),1280x720,7215.80,47.56,57600,38
std::sync,1920x1080,16103.30,671.74,129600,42
parking_lot,1920x1080,16069.40,170.30,129600,43
Deloxide (Default),1920x1080,15872.90,26.20,129600,45
Deloxide (Graph),1920x1080,15889.90,35.22,129600,43
Stress (Gentle),1920x1080,15945.00,218.17,129600,45
Stress (Random),1920x1080,16213.40,282.08,129600,45
Stress (Aggressive),1920x1080,16245.30,196.81,129600,43
Stress (Component),1920x1080,16260.70,197.90,129600,46
